Season,Game #,Date,Age,Team,Opp,Score diff,Played?,Minutes,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
6,21,12/9/08,23-345,CLE,TOR,W (+20),1,30:24:00,11,18,0.611,2,5,0.4,7,8,0.875,0,5,5,4,3,0,2,1,31,27.3,19
6,22,12/10/08,23-346,CLE,PHI,W (+8),1,39:04:00,10,22,0.455,2,6,0.333,7,8,0.875,2,2,4,5,0,2,1,4,29,21.5,-1
6,23,12/12/08,23-348,CLE,PHI,W (+16),1,36:50:00,9,21,0.429,1,4,0.25,9,12,0.75,3,4,7,7,1,3,0,2,28,26.2,13
6,24,12/13/08,23-349,CLE,ATL,L (-5),1,45:40:00,10,19,0.526,2,7,0.286,11,12,0.917,2,4,6,9,4,1,1,2,33,35.1,1
6,25,12/17/08,23-353,CLE,MIN,W (+23),1,39:38:00,14,20,0.7,2,6,0.333,2,4,0.5,0,6,6,3,2,2,0,1,32,29.7,22
6,26,12/19/08,23-355,CLE,DEN,W (+17),1,38:45:00,13,20,0.65,0,2,0,7,8,0.875,3,7,10,8,0,0,6,3,33,26.4,14
6,27,12/21/08,23-357,CLE,OKC,W (+11),1,42:46:00,14,24,0.583,2,4,0.5,1,2,0.5,2,2,4,7,3,1,3,1,31,26.6,16
6,28,12/23/08,23-359,CLE,HOU,W (+9),1,38:20:00,11,23,0.478,0,3,0,5,7,0.714,1,8,9,5,3,1,7,2,27,17,14
6,29,12/25/08,23-361,CLE,WAS,W (+4),1,38:13:00,6,13,0.462,0,2,0,6,10,0.6,0,5,5,6,3,1,3,1,18,15.7,-4
6,30,12/28/08,23-364,CLE,MIA,W (+7),1,42:31:00,12,19,0.632,2,4,0.5,7,12,0.583,0,6,6,9,0,1,2,1,33,28.9,8
6,31,12/30/08,24-000,CLE,MIA,L (-9),1,43:29:00,12,24,0.5,3,8,0.375,11,14,0.786,0,2,2,7,0,2,5,2,38,25.9,-6
6,32,1/2/09,24-003,CLE,CHI,W (+25),1,37:16:00,3,8,0.375,2,3,0.667,8,8,1,1,9,10,11,2,3,5,1,16,21.4,27
6,33,1/4/09,24-005,CLE,WAS,L (-3),1,40:46:00,11,22,0.5,3,9,0.333,5,8,0.625,0,6,6,10,1,2,7,4,30,20.4,0
6,34,1/7/09,24-008,CLE,CHA,W (+30),1,30:59:00,9,16,0.563,0,1,0,3,3,1,0,4,4,4,2,2,4,1,21,16.4,23
6,35,1/9/09,24-010,CLE,BOS,W (+15),1,35:49:00,13,25,0.52,3,7,0.429,9,9,1,1,6,7,6,4,3,3,2,38,34.7,20
6,36,1/13/09,24-014,CLE,MEM,W (+15),1,40:12:00,9,15,0.6,1,5,0.2,11,14,0.786,0,11,11,10,3,1,2,2,30,33.1,21
6,37,1/15/09,24-016,CLE,CHI,L (-9),1,44:19:00,8,28,0.286,1,6,0.167,11,16,0.688,3,11,14,7,1,1,8,4,28,12,2
6,38,1/16/09,24-017,CLE,NOH,W (+14),1,42:59:00,12,24,0.5,0,2,0,5,6,0.833,3,11,14,7,3,1,4,3,29,25.4,19
6,39,1/19/09,24-020,CLE,LAL,L (-17),1,42:10:00,9,25,0.36,1,5,0.2,4,8,0.5,2,7,9,4,4,1,6,1,23,12.1,-11
6,40,1/21/09,24-022,CLE,POR,W (+6),1,42:02:00,14,30,0.467,3,6,0.5,3,4,0.75,0,7,7,14,1,0,2,1,34,28.7,14
6,41,1/23/09,24-024,CLE,GSW,W (+1),1,40:39:00,10,24,0.417,2,5,0.4,10,16,0.625,2,7,9,8,3,2,2,2,32,27.5,12
6,42,1/24/09,24-025,CLE,UTA,W (+5),1,41:08:00,14,27,0.519,1,6,0.167,4,6,0.667,4,10,14,9,1,0,2,1,33,29.6,16
6,43,1/27/09,24-028,CLE,SAC,W (+7),1,37:31:00,5,10,0.5,0,2,0,13,15,0.867,5,10,15,11,0,3,2,1,23,31.1,6
6,44,1/29/09,24-030,CLE,ORL,L (-11),1,37:41:00,10,27,0.37,0,2,0,3,6,0.5,1,7,8,8,1,1,2,1,23,14.6,-9
6,45,1/30/09,24-031,CLE,LAC,W (+17),1,37:08:00,9,17,0.529,2,4,0.5,5,6,0.833,0,7,7,6,3,1,3,2,25,22.5,32
6,46,2/1/09,24-033,CLE,DET,W (+10),1,38:50:00,12,25,0.48,3,8,0.375,6,11,0.545,4,0,4,8,1,1,5,3,33,22.2,-8
6,47,2/3/09,24-035,CLE,TOR,W (+18),1,37:31:00,9,20,0.45,2,5,0.4,13,13,1,1,6,7,4,1,2,3,3,33,26.1,23
6,48,2/4/09,24-036,CLE,NYK,W (+5),1,44:03:00,17,33,0.515,2,7,0.286,16,19,0.842,0,9,9,11,0,2,3,1,52,42.9,7
6,49,2/8/09,24-040,CLE,LAL,L (-10),1,40:08:00,5,20,0.25,2,8,0.25,4,8,0.5,3,5,8,12,0,0,1,1,16,13,-12
6,50,2/10/09,24-042,CLE,IND,L (-1),1,41:10:00,15,21,0.714,4,7,0.571,13,14,0.929,0,7,7,4,1,1,7,1,47,37.1,7
6,51,2/11/09,24-043,CLE,PHO,W (+17),1,33:17:00,9,18,0.5,1,5,0.2,7,8,0.875,2,4,6,6,2,1,3,1,26,22.7,22
6,52,2/18/09,24-050,CLE,TOR,W (+17),1,33:12:00,9,17,0.529,0,3,0,2,2,1,1,8,9,9,1,1,5,1,20,17.4,20
6,53,2/20/09,24-052,CLE,MIL,W (+8),1,40:04:00,16,29,0.552,8,11,0.727,15,22,0.682,1,4,5,9,0,0,6,3,55,39.3,13
6,54,2/22/09,24-054,CLE,DET,W (+21),1,30:34:00,6,13,0.462,0,3,0,8,10,0.8,0,5,5,9,2,1,0,0,20,23,22
6,55,2/24/09,24-056,CLE,MEM,W (+15),1,29:40:00,4,10,0.4,1,2,0.5,6,8,0.75,0,5,5,8,0,1,2,1,15,14.2,13
6,56,2/26/09,24-058,CLE,HOU,L (-19),1,33:51:00,7,21,0.333,2,5,0.4,5,6,0.833,0,1,1,0,1,2,3,4,21,6.8,-14
6,57,2/27/09,24-059,CLE,SAS,W (+11),1,32:08:00,12,23,0.522,3,6,0.5,3,3,1,4,10,14,4,2,0,1,2,30,27.5,29
6,58,3/1/09,24-061,CLE,ATL,W (+1),1,43:43:00,8,20,0.4,2,7,0.286,8,14,0.571,1,5,6,11,1,2,0,3,26,23.9,4
6,59,3/2/09,24-062,CLE,MIA,W (+7),1,43:40:00,13,21,0.619,6,7,0.857,10,10,1,1,7,8,4,1,1,6,4,42,32.2,8
6,60,3/4/09,24-064,CLE,MIL,W (+18),1,33:12:00,7,11,0.636,4,5,0.8,5,7,0.714,1,7,8,4,1,0,3,2,23,20.1,24
6,61,3/6/09,24-066,CLE,BOS,L (-11),1,38:17:00,5,15,0.333,2,5,0.4,9,12,0.75,0,6,6,5,1,0,4,1,21,13.2,-1
6,62,3/7/09,24-067,CLE,MIA,W (+10),1,43:19:00,5,15,0.333,0,3,0,4,7,0.571,2,8,10,12,1,1,2,0,14,16.2,10
6,63,3/10/09,24-070,CLE,LAC,W (+4),1,43:42:00,10,23,0.435,0,6,0,12,16,0.75,4,9,13,11,2,2,4,2,32,30.1,7
6,64,3/12/09,24-072,CLE,PHO,W (+8),1,43:27:00,10,24,0.417,3,8,0.375,11,13,0.846,6,4,10,13,3,3,3,0,34,37,7
6,65,3/13/09,24-073,CLE,SAC,W (+3),1,46:59:00,16,30,0.533,4,11,0.364,15,17,0.882,0,4,4,9,2,3,3,2,51,43.4,6
6,66,3/15/09,24-075,CLE,NYK,W (+5),1,39:52:00,9,17,0.529,0,3,0,1,3,0.333,1,7,8,10,4,3,3,1,19,22.4,-1
6,67,3/17/09,24-077,CLE,ORL,W (+4),1,42:40:00,15,27,0.556,4,7,0.571,9,10,0.9,2,10,12,8,4,1,6,1,43,38,5
6,68,3/19/09,24-079,CLE,POR,W (+5),1,46:47:00,10,22,0.455,0,3,0,6,11,0.545,0,11,11,10,1,2,0,4,26,23.7,-1
6,69,3/21/09,24-081,CLE,ATL,W (+6),1,40:03:00,9,21,0.429,1,4,0.25,3,5,0.6,1,6,7,5,3,1,2,2,22,17,10
6,70,3/22/09,24-082,CLE,NJN,W (+8),1,39:09:00,9,17,0.529,1,4,0.25,11,15,0.733,2,9,11,8,1,0,1,0,30,29.8,14
6,71,3/25/09,24-085,CLE,NJN,W (+11),1,39:06:00,7,14,0.5,1,1,1,7,7,1,1,7,8,11,1,0,1,0,22,25.5,19
6,72,3/27/09,24-087,CLE,MIN,W (+22),1,33:36:00,8,14,0.571,2,3,0.667,7,10,0.7,2,10,12,7,0,0,5,0,25,21.5,25
6,73,3/29/09,24-089,CLE,DAL,W (+28),1,31:19:00,9,22,0.409,2,4,0.5,4,5,0.8,1,5,6,12,1,2,0,0,24,24.8,15
6,74,3/31/09,24-091,CLE,DET,W (+6),1,40:36:00,9,24,0.375,0,2,0,7,8,0.875,1,11,12,3,3,1,1,0,25,20.2,10
6,75,4/2/09,24-093,CLE,WAS,L (-8),1,38:20:00,11,18,0.611,4,8,0.5,5,7,0.714,1,8,9,6,0,0,6,1,31,22.9,-13
6,76,4/3/09,24-094,CLE,ORL,L (-29),1,32:00:00,7,20,0.35,2,5,0.4,10,10,1,1,8,9,5,1,0,2,1,26,20,-26
6,77,4/5/09,24-096,CLE,SAS,W (+20),1,36:43:00,14,21,0.667,2,5,0.4,8,8,1,0,7,7,6,1,0,2,1,38,33.8,7
6,78,4/8/09,24-099,CLE,WAS,W (+12),1,30:51:00,7,15,0.467,0,2,0,7,8,0.875,0,6,6,7,3,0,2,1,21,20.2,25
6,79,4/10/09,24-101,CLE,PHI,W (+10),1,36:34:00,8,17,0.471,1,4,0.25,10,12,0.833,0,2,2,10,0,1,1,4,27,23.2,8
6,80,4/12/09,24-103,CLE,BOS,W (+31),1,30:22:00,9,14,0.643,5,8,0.625,6,6,1,0,4,4,7,1,1,5,1,29,25.2,21
6,81,4/13/09,24-104,CLE,IND,W (+8),1,38:42:00,12,23,0.522,2,7,0.286,11,14,0.786,0,5,5,5,1,0,5,1,37,25.1,8
6,82,4/15/09,24-106,CLE,PHI,L (-1),2,0:00:00,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7,1,10/27/09,24-301,CLE,BOS,L (-6),1,44:55:00,12,22,0.545,4,9,0.444,10,13,0.769,0,4,4,8,2,4,5,4,38,31.2,0
7,2,10/28/09,24-302,CLE,TOR,L (-10),1,39:47:00,7,19,0.368,1,5,0.2,8,14,0.571,2,9,11,12,2,0,4,1,23,20.2,2
7,3,10/30/09,24-304,CLE,MIN,W (+17),1,33:26:00,10,18,0.556,2,3,0.667,2,3,0.667,2,7,9,6,1,1,2,1,24,22,17
7,4,10/31/09,24-305,CLE,CHA,W (+11),1,37:14:00,5,11,0.455,0,1,0,4,6,0.667,1,6,7,9,0,0,4,1,14,11.9,19
7,5,11/3/09,24-308,CLE,WAS,W (+12),1,35:59:00,7,16,0.438,2,7,0.286,11,13,0.846,3,5,8,6,3,0,4,0,27,24.6,5
7,6,11/5/09,24-310,CLE,CHI,L (-1),1,38:13:00,9,17,0.529,1,4,0.25,6,9,0.667,0,7,7,6,1,1,3,0,25,20.5,-1
7,7,11/6/09,24-311,CLE,NYK,W (+9),1,35:37:00,12,17,0.706,2,4,0.5,7,9,0.778,0,8,8,9,3,0,7,3,33,28.6,8
7,8,11/11/09,24-316,CLE,ORL,W (+9),1,39:07:00,13,23,0.565,2,3,0.667,8,9,0.889,2,6,8,4,1,0,4,2,36,26.9,7
7,9,11/12/09,24-317,CLE,MIA,W (+7),1,38:53:00,8,20,0.4,2,4,0.5,16,18,0.889,1,3,4,7,2,1,2,2,34,28.8,6
7,10,11/14/09,24-319,CLE,UTA,W (+4),1,37:33:00,6,15,0.4,0,3,0,9,12,0.75,0,6,6,9,2,1,2,1,21,20.1,6
7,11,11/17/09,24-322,CLE,GSW,W (+6),1,38:32:00,11,19,0.579,1,5,0.2,8,10,0.8,0,5,5,12,1,2,2,2,31,30.8,8
7,12,11/18/09,24-323,CLE,WAS,L (-17),1,35:08:00,12,20,0.6,3,7,0.429,7,8,0.875,0,2,2,9,2,0,6,4,34,25.7,-12
7,13,11/20/09,24-325,CLE,IND,W (+10),1,37:53:00,13,25,0.52,1,3,0.333,13,14,0.929,2,7,9,7,1,1,2,1,40,35,4
7,14,11/21/09,24-326,CLE,PHI,W (+6),1,38:32:00,13,20,0.65,2,4,0.5,4,6,0.667,0,7,7,9,0,0,5,3,32,24.6,11
7,15,11/25/09,24-330,CLE,DET,W (+10),1,38:49:00,12,24,0.5,1,4,0.25,9,11,0.818,1,7,8,7,1,0,5,2,34,24.1,12
7,16,11/27/09,24-332,CLE,CHA,L (-7),1,38:01:00,10,19,0.526,2,7,0.286,3,4,0.75,0,6,6,4,0,0,6,4,25,12.3,3
7,17,11/28/09,24-333,CLE,DAL,W (+16),1,36:21:00,10,20,0.5,0,2,0,5,7,0.714,0,5,5,12,0,0,1,2,25,22.3,8
7,18,12/2/09,24-337,CLE,PHO,W (+17),1,34:37:00,6,15,0.4,0,3,0,0,0,0,1,7,8,10,1,1,3,0,12,12.4,19
7,19,12/4/09,24-339,CLE,CHI,W (+14),1,34:12:00,8,17,0.471,1,3,0.333,6,10,0.6,0,6,6,11,0,0,1,1,23,20.8,19
7,20,12/6/09,24-341,CLE,MIL,W (+15),1,32:18:00,4,10,0.4,0,0,0,6,7,0.857,1,4,5,10,1,1,5,2,14,13,8
7,21,12/8/09,24-343,CLE,MEM,L (-2),1,44:47:00,14,29,0.483,4,11,0.364,11,12,0.917,4,9,13,6,0,1,5,2,43,32.5,6
7,22,12/9/09,24-344,CLE,HOU,L (-10),1,39:40:00,8,21,0.381,2,4,0.5,9,10,0.9,1,5,6,7,1,1,5,2,27,18.1,-13
7,23,12/11/09,24-346,CLE,POR,W (+5),1,37:36:00,14,24,0.583,1,2,0.5,4,6,0.667,1,6,7,7,1,2,4,1,33,26.4,8
7,24,12/13/09,24-348,CLE,OKC,W (+13),1,38:35:00,16,29,0.552,5,8,0.625,7,10,0.7,0,7,7,6,4,1,1,1,44,38.5,13
7,25,12/15/09,24-350,CLE,NJN,W (+10),1,40:28:00,9,19,0.474,1,5,0.2,4,6,0.667,1,5,6,7,2,0,6,3,23,14.4,7
7,26,12/16/09,24-351,CLE,PHI,W (+7),1,40:17:00,12,26,0.462,3,6,0.5,9,11,0.818,1,5,6,7,3,1,3,2,36,28.8,10
7,27,12/18/09,24-353,CLE,MIL,W (+3),1,38:22:00,6,13,0.462,2,4,0.5,12,14,0.857,1,9,10,8,0,3,6,1,26,23.2,3
7,28,12/20/09,24-355,CLE,DAL,L (-7),1,43:05:00,9,23,0.391,2,6,0.333,5,7,0.714,0,3,3,6,2,2,2,3,25,17,-5
7,29,12/21/09,24-356,CLE,PHO,W (+18),1,38:26:00,11,21,0.524,1,3,0.333,6,6,1,1,5,6,4,2,0,3,3,29,21.5,26
7,30,12/23/09,24-358,CLE,SAC,W (+13),1,43:41:00,14,30,0.467,1,4,0.25,5,7,0.714,4,12,16,10,0,0,2,1,34,28.8,26
7,31,12/25/09,24-360,CLE,LAL,W (+15),1,40:44:00,9,19,0.474,2,7,0.286,6,11,0.545,0,4,4,9,2,1,7,3,26,16.3,8
7,32,12/27/09,24-362,CLE,HOU,W (+25),1,29:26:00,12,20,0.6,2,5,0.4,3,4,0.75,2,3,5,6,3,1,1,0,29,28.6,16
7,33,12/29/09,24-364,CLE,ATL,W (+11),1,39:36:00,6,20,0.3,0,5,0,2,3,0.667,1,7,8,10,5,1,4,2,14,12.7,6
7,34,12/30/09,25-000,CLE,ATL,W (+5),1,43:12:00,15,23,0.652,4,6,0.667,14,16,0.875,3,7,10,6,2,2,3,3,48,44.7,7
7,35,1/2/10,25-003,CLE,NJN,W (+8),1,36:27:00,7,16,0.438,1,4,0.25,13,15,0.867,1,8,9,7,1,2,1,0,28,28.2,10
7,36,1/3/10,25-004,CLE,CHA,L (-3),1,42:51:00,13,21,0.619,2,6,0.333,1,2,0.5,0,7,7,6,1,1,1,3,29,24.9,-2
7,37,1/6/10,25-007,CLE,WAS,W (+23),1,30:50:00,7,12,0.583,1,4,0.25,8,11,0.727,2,5,7,8,1,2,1,0,23,26.1,16
7,38,1/8/10,25-009,CLE,DEN,L (-2),1,41:18:00,12,28,0.429,2,8,0.25,9,13,0.692,2,4,6,7,1,0,8,1,35,18.7,6
7,39,1/10/10,25-011,CLE,POR,W (+12),1,45:16:00,13,19,0.684,3,4,0.75,12,14,0.857,0,10,10,8,0,1,3,1,41,38,16
7,40,1/11/10,25-012,CLE,GSW,W (+3),1,41:37:00,12,23,0.522,1,4,0.25,12,14,0.857,1,7,8,11,2,4,2,1,37,37.8,12
7,41,1/14/10,25-015,CLE,UTA,L (-1),1,40:25:00,12,20,0.6,4,6,0.667,8,12,0.667,1,8,9,6,5,1,5,1,36,32.8,7
7,42,1/16/10,25-017,CLE,LAC,W (+1),1,38:54:00,12,20,0.6,3,6,0.5,5,7,0.714,2,2,4,4,2,1,5,3,32,23.3,-1
7,43,1/19/10,25-020,CLE,TOR,W (+8),1,41:01:00,8,18,0.444,0,7,0,12,14,0.857,0,9,9,11,3,3,3,1,28,29.9,12
7,44,1/21/10,25-022,CLE,LAL,W (+6),1,40:24:00,13,25,0.52,1,9,0.111,10,13,0.769,0,5,5,9,2,1,4,3,37,28.8,5
7,45,1/23/10,25-024,CLE,OKC,W (+1),1,42:38:00,9,19,0.474,6,10,0.6,13,19,0.684,0,9,9,12,1,1,6,2,37,30.9,-1
7,46,1/25/10,25-026,CLE,MIA,W (+1),1,38:31:00,9,23,0.391,2,9,0.222,12,17,0.706,0,9,9,4,1,0,4,3,32,18.8,1
7,47,1/27/10,25-028,CLE,MIN,W (+14),1,30:33:00,3,8,0.375,1,3,0.333,5,6,0.833,0,6,6,11,1,1,3,1,12,15,16
7,48,1/29/10,25-030,CLE,IND,W (+21),1,35:39:00,6,18,0.333,0,4,0,10,17,0.588,0,9,9,13,2,4,5,2,22,19.8,22
7,49,1/31/10,25-032,CLE,LAC,W (+25),1,39:55:00,10,20,0.5,5,6,0.833,7,8,0.875,1,2,3,11,1,0,1,1,32,30.2,15
7,50,2/2/10,25-034,CLE,MEM,W (+16),1,37:07:00,7,14,0.5,1,4,0.25,7,7,1,1,5,6,15,1,1,4,2,22,24.6,19
7,51,2/4/10,25-036,CLE,MIA,W (+16),1,40:06:00,9,16,0.563,1,4,0.25,17,21,0.81,2,5,7,8,2,0,4,1,36,32.9,20
7,52,2/6/10,25-038,CLE,NYK,W (+7),1,43:51:00,17,31,0.548,6,12,0.5,7,7,1,1,7,8,8,5,0,5,2,47,39.7,4
7,53,2/9/10,25-041,CLE,NJN,W (+7),1,42:21:00,13,21,0.619,1,4,0.25,5,9,0.556,0,3,3,11,1,0,3,0,32,27.5,-2
7,54,2/11/10,25-043,CLE,ORL,W (+9),1,45:05:00,10,21,0.476,2,6,0.333,10,12,0.833,1,7,8,13,2,0,3,2,32,30.6,16
7,55,2/18/10,25-050,CLE,DEN,L (-2),1,47:00:00,15,33,0.455,1,9,0.111,12,17,0.706,1,12,13,15,2,4,3,1,43,40.1,-5
7,56,2/19/10,25-051,CLE,CHA,L (-17),1,35:30:00,6,14,0.429,2,6,0.333,8,10,0.8,1,2,3,9,4,0,2,2,22,22.6,-2
7,57,2/21/10,25-053,CLE,ORL,L (-6),1,39:23:00,12,25,0.48,1,6,0.167,8,12,0.667,0,9,9,6,2,1,5,0,33,23.3,-9
7,58,2/23/10,25-055,CLE,NOH,W (+10),1,44:07:00,7,16,0.438,2,6,0.333,4,4,1,1,4,5,13,2,0,0,0,20,24.6,17
7,59,2/25/10,25-057,CLE,BOS,W (+20),1,35:57:00,11,23,0.478,3,6,0.5,11,15,0.733,1,6,7,9,0,0,2,2,36,28.7,9
7,60,2/26/10,25-058,CLE,TOR,W (+8),1,44:24:00,10,17,0.588,1,4,0.25,15,16,0.938,0,6,6,9,2,0,1,2,36,36,8
7,61,3/1/10,25-061,CLE,NYK,W (+31),1,31:14:00,9,17,0.529,1,4,0.25,3,5,0.6,0,7,7,7,2,2,3,0,22,20.3,39
7,62,3/3/10,25-063,CLE,NJN,W (+19),1,40:41:00,10,18,0.556,0,4,0,6,7,0.857,2,5,7,14,3,1,3,1,26,30,18
7,63,3/5/10,25-065,CLE,DET,W (+7),1,41:52:00,16,27,0.593,3,7,0.429,5,6,0.833,2,11,13,6,3,2,4,1,40,36,12
7,64,3/6/10,25-066,CLE,MIL,L (-7),2,0:00:00,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
7,65,3/8/10,25-068,CLE,SAS,W (+2),0,0:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,66,3/12/10,25-072,CLE,PHI,W (+5),1,42:06:00,7,18,0.389,3,10,0.3,6,12,0.5,0,6,6,10,1,3,1,2,23,20.9,2
7,67,3/14/10,25-074,CLE,BOS,W (+11),1,38:52:00,9,21,0.429,1,3,0.333,11,16,0.688,3,5,8,7,2,3,2,2,30,26.7,3
7,68,3/16/10,25-076,CLE,DET,W (+12),1,43:07:00,10,22,0.455,1,3,0.333,8,11,0.727,2,10,12,12,1,1,4,0,29,26.9,13
7,69,3/17/10,25-077,CLE,IND,W (+5),1,38:43:00,11,24,0.458,2,4,0.5,8,10,0.8,1,8,9,9,3,2,6,2,32,25.8,14
7,70,3/19/10,25-079,CLE,CHI,W (+7),1,37:31:00,9,21,0.429,0,3,0,11,12,0.917,1,10,11,7,2,2,5,1,29,24.1,5
7,71,3/21/10,25-081,CLE,DET,W (+25),1,30:48:00,5,9,0.556,2,3,0.667,3,3,1,0,3,3,7,0,1,0,0,15,17.2,17
7,72,3/24/10,25-084,CLE,NOH,W (+13),1,40:45:00,15,22,0.682,1,5,0.2,7,8,0.875,2,4,6,9,1,0,3,2,38,34.3,9
7,73,3/26/10,25-086,CLE,SAS,L (-5),1,39:18:00,11,21,0.524,1,6,0.167,4,7,0.571,0,5,5,10,2,0,5,2,27,20.2,-5
7,74,3/28/10,25-088,CLE,SAC,W (+7),1,39:05:00,13,22,0.591,3,6,0.5,5,6,0.833,1,6,7,8,3,0,3,2,34,30.7,8
7,75,3/31/10,25-091,CLE,MIL,W (+3),1,39:05:00,7,17,0.412,0,1,0,9,13,0.692,1,8,9,7,1,1,4,2,23,17.2,10
7,76,4/2/10,25-093,CLE,ATL,W (+5),1,38:22:00,11,20,0.55,1,3,0.333,4,7,0.571,0,13,13,6,2,0,2,1,27,23.9,11
7,77,4/4/10,25-095,CLE,BOS,L (-4),1,44:32:00,14,31,0.452,0,9,0,14,22,0.636,1,6,7,9,1,1,3,0,42,30.2,-1
7,78,4/6/10,25-097,CLE,TOR,W (+12),1,35:34:00,5,13,0.385,0,2,0,9,10,0.9,0,6,6,13,0,1,4,1,19,18.7,19
7,79,4/8/10,25-099,CLE,CHI,L (-1),0,0:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,80,4/9/10,25-100,CLE,IND,L (-3),0,0:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,81,4/11/10,25-102,CLE,ORL,L (-6),0,0:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,82,4/14/10,25-105,CLE,ATL,L (-16),0,0:00:00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0